"","run","condition","emo","cert","rt","trial","sub","acc","shock","control"
"3777",3,"Controllable Unpleasant",4,4,0.8169289,33,59,1,"Unpleasant","Controllable"
"3778",3,"Controllable Perceptible",3,4,0.857712,34,59,1,"Mild","Controllable"
"3779",3,"Uncontrollable Unpleasant",3,3,0.7182365,35,59,1,"Unpleasant","Uncontrollable"
"3780",3,"Uncontrollable Perceptible",1,3,0,36,59,0,"Mild","Uncontrollable"
"3781",4,"Controllable Unpleasant",3,2,0,37,59,0,"Unpleasant","Controllable"
"3782",4,"Uncontrollable Unpleasant",3,3,0.7778412,38,59,1,"Unpleasant","Uncontrollable"
"3783",4,"Controllable Perceptible",2,4,0,39,59,0,"Mild","Controllable"
"3784",4,"Uncontrollable Perceptible",2,4,0,40,59,0,"Mild","Uncontrollable"
"3785",4,"Uncontrollable Unpleasant",2,3,0,41,59,0,"Unpleasant","Uncontrollable"
"3786",4,"Controllable Perceptible",3,4,0.9166766,42,59,1,"Mild","Controllable"
"3787",4,"Controllable Unpleasant",2,1,0,43,59,0,"Unpleasant","Controllable"
"3788",4,"Uncontrollable Perceptible",2,4,0.7970747,44,59,1,"Mild","Uncontrollable"
"3789",4,"Uncontrollable Unpleasant",2,3,0,45,59,0,"Unpleasant","Uncontrollable"
"3790",4,"Controllable Perceptible",3,4,0.8173289,46,59,1,"Mild","Controllable"
"3791",4,"Controllable Unpleasant",4,3,0.7581768,47,59,1,"Unpleasant","Controllable"
"3792",4,"Uncontrollable Perceptible",1,3,0.7778445,48,59,1,"Mild","Uncontrollable"
"3793",5,"Uncontrollable Unpleasant",3,3,0.7371105,49,59,1,"Unpleasant","Uncontrollable"
"3794",5,"Controllable Perceptible",3,3,0.9579031,50,59,1,"Mild","Controllable"
"3795",5,"Controllable Unpleasant",3,4,0.8182485,51,59,1,"Unpleasant","Controllable"
"3796",5,"Uncontrollable Perceptible",2,4,0,52,59,0,"Mild","Uncontrollable"
"3797",5,"Uncontrollable Unpleasant",3,4,0.7574482,53,59,1,"Unpleasant","Uncontrollable"
"3798",5,"Uncontrollable Perceptible",2,2,0,54,59,0,"Mild","Uncontrollable"
"3799",5,"Controllable Unpleasant",3,4,0.8776924,55,59,1,"Unpleasant","Controllable"
"3800",5,"Controllable Perceptible",2,4,0.8975881,56,59,1,"Mild","Controllable"
"3801",5,"Controllable Unpleasant",4,3,0,57,59,0,"Unpleasant","Controllable"
"3802",5,"Uncontrollable Perceptible",1,3,0.8371556,58,59,1,"Mild","Uncontrollable"
"3803",5,"Uncontrollable Unpleasant",3,4,0.7375575,59,59,1,"Unpleasant","Uncontrollable"
"3804",5,"Controllable Perceptible",2,4,0.7778872,60,59,1,"Mild","Controllable"
"3805",6,"Controllable Perceptible",2,4,0.7977385,61,59,1,"Mild","Controllable"
"3806",6,"Uncontrollable Unpleasant",3,4,0.7974071,62,59,1,"Unpleasant","Uncontrollable"
"3807",6,"Controllable Unpleasant",3,4,0,63,59,0,"Unpleasant","Controllable"
"3808",6,"Uncontrollable Perceptible",1,2,0,64,59,0,"Mild","Uncontrollable"
"3809",6,"Uncontrollable Perceptible",1,4,0.8173021,65,59,1,"Mild","Uncontrollable"
"3810",6,"Controllable Unpleasant",3,4,0.837416,66,59,1,"Unpleasant","Controllable"
"3811",6,"Uncontrollable Unpleasant",3,3,0.6378735,67,59,1,"Unpleasant","Uncontrollable"
"3812",6,"Controllable Perceptible",3,4,0,68,59,0,"Mild","Controllable"
